frame,source_path,selected_source,num_points,debug_mapped_points_image
frame_000000,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000000.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000000_raw_mapped_points_on_raw.jpg
frame_000030,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000030.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000030_raw_mapped_points_on_raw.jpg
frame_000060,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000060.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000060_raw_mapped_points_on_raw.jpg
frame_000090,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000090.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000090_raw_mapped_points_on_raw.jpg
frame_000120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000120.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000120_raw_mapped_points_on_raw.jpg
frame_000150,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000150.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000150_raw_mapped_points_on_raw.jpg
frame_000180,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000180.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000180_raw_mapped_points_on_raw.jpg
frame_000210,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000210.jpg,raw,10,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000210_raw_mapped_points_on_raw.jpg
frame_000240,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000240.jpg,raw,10,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000240_raw_mapped_points_on_raw.jpg
frame_000270,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000270.jpg,raw,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000270_raw_mapped_points_on_raw.jpg
frame_000300,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000300.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000300_raw_mapped_points_on_raw.jpg
frame_000330,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000330.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_000330_raw_mapped_points_on_raw.jpg
frame_001050,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001050.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_001050_raw_mapped_points_on_raw.jpg
frame_001080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001080.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_001080_raw_mapped_points_on_raw.jpg
frame_001140,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001140.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_001140_raw_mapped_points_on_raw.jpg
frame_001170,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001170.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_001170_raw_mapped_points_on_raw.jpg
frame_001230,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001230.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_001230_raw_mapped_points_on_raw.jpg
frame_002280,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002280.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002280_raw_mapped_points_on_raw.jpg
frame_002340,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002340.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002340_perspective_mapped_points_on_raw.jpg
frame_002490,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002490.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002490_perspective_mapped_points_on_raw.jpg
frame_002580,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002580.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002580_perspective_mapped_points_on_raw.jpg
frame_002610,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002610.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002610_perspective_mapped_points_on_raw.jpg
frame_002670,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002670.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002670_raw_mapped_points_on_raw.jpg
frame_002880,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002880.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002880_perspective_mapped_points_on_raw.jpg
frame_002910,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002910.jpg,perspective,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002910_perspective_mapped_points_on_raw.jpg
frame_002940,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002940.jpg,perspective,12,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002940_perspective_mapped_points_on_raw.jpg
frame_002970,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002970.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_002970_raw_mapped_points_on_raw.jpg
frame_003000,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003000.jpg,raw,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003000_raw_mapped_points_on_raw.jpg
frame_003030,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003030.jpg,raw,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003030_raw_mapped_points_on_raw.jpg
frame_003060,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003060.jpg,perspective,10,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003060_perspective_mapped_points_on_raw.jpg
frame_003090,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003090.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003090_raw_mapped_points_on_raw.jpg
frame_003120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003120.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003120_raw_mapped_points_on_raw.jpg
frame_003150,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003150.jpg,raw,9,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003150_raw_mapped_points_on_raw.jpg
frame_003180,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003180.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003180_raw_mapped_points_on_raw.jpg
frame_003210,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003210.jpg,perspective,11,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003210_perspective_mapped_points_on_raw.jpg
frame_003240,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003240.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003240_raw_mapped_points_on_raw.jpg
frame_003270,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003270.jpg,raw,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003270_raw_mapped_points_on_raw.jpg
frame_003300,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003300.jpg,raw,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_003300_raw_mapped_points_on_raw.jpg
