rectified_frame_path,detected_frame_path,marker_count,charuco_corner_count,marker_ids,used_for_calibration,error
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000000_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000000_rectified_detected.jpg,9,7,21 22 18 23 19 14 15 7 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000030_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000030_rectified_detected.jpg,9,8,21 22 18 23 19 14 15 16 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000060_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000060_rectified_detected.jpg,10,10,21 22 18 23 19 14 15 16 11 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000090_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000090_rectified_detected.jpg,10,10,21 22 18 23 19 14 15 11 7 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000120_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000120_rectified_detected.jpg,11,10,21 22 18 23 19 15 16 11 4 5 1,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000150_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000150_rectified_detected.jpg,8,7,21 22 18 23 19 15 16 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000180_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000180_rectified_detected.jpg,8,7,21 22 18 23 19 15 16 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000210_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000210_rectified_detected.jpg,7,6,21 22 18 23 19 15 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000240_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000240_rectified_detected.jpg,9,8,21 22 18 23 19 15 16 11 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000270_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000270_rectified_detected.jpg,8,8,21 22 18 23 19 15 16 11,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000300_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000300_rectified_detected.jpg,8,7,21 22 18 23 19 14 15 5,True,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_000330_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_000330_rectified_detected.jpg,4,0,18 16 11 4,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001050_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001050_rectified_detected.jpg,5,0,4 21 22 16 23,False,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_frames/frame_001080_rectified.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/rectified_detected_frames/frame_001080_rectified_detected.jpg,5,1,4 1 21 22 23,False,
